"tree" "sp" "Xm" "Ym" "DBH" "GI" "LGI" "ABN" "sBA" "sBA50" "HFI" "LHFI" "LSD" "FL" "AC" "sAC" "elev" "H" "S" "J" "Ha" "dist" "Ht" "Fsize" "Fcpo" "seedlings"
"4" "11KDACU1" "Dacu" 597.6903 218.7782 80 2006.39588501197 7.60459358146825 111 804.064949312383 799.666240504477 6.3480336995553 1.99443275356382 3.05668582658777 NA 0.713940092591166 0.591708804452456 30 2.14151971577581 12 1.33060101245968 16.8583987935959 0 2.16309807462617 101.01564304781 79.988708226338 6
"5" "11KDACU10" "Dacu" 571.6963 316.393 61.5 16.9902349290536 2.88982910674619 111 804.064949312383 799.666240504477 4.62896716695735 1.72792597362731 0.514230250186385 NA 0.576218884770763 0.600396310389465 22 2.10067892127926 9 1.91212035669653 14.6395395158669 0 2.73797555580579 100.822271823754 61.4970505552679 0
"15" "11KDACU2" "Dacu" 606.9034 224.3216 52 154.471673010263 5.04646354788827 111 804.064949312383 799.666240504477 6.50430202408993 2.01547645930681 1.42106657825732 NA 0.711167908034459 0.592720905011778 36 2.27472028797409 13 1.4133631812698 15.7918675146445 0 2.29746160158173 101.016395342329 51.9989529112488 16
"16" "11KDACU20" "Dacu" 732.3111 268.7559 78 145.595938453733 4.98768008411469 111 804.064949312383 799.666240504477 3.97521274135309 1.60446813177731 1.0685133327703 NA 0.725879288940821 0.59531180200777 29 1.2354249263447 5 0.767612665763698 9.27112708255981 0 1.42742444756856 101.093554919539 77.9898918178575 19
"19" "11KDACU23" "Dacu" 735.9605 290.8734 120 113.762853838878 4.74286785869241 111 804.064949312383 799.666240504477 4.39407928651128 1.68530192362903 0.993725613699256 NA 0.686688979887387 0.60084686573715 27.91765 1.5937616131959 7 0.990259767638695 11.0161423356599 0 1.86281391413584 101.050935627053 119.987519779454 40
"23" "11KDACU5" "Dacu" 612.4235 233.544 56.2 138.52416186671 4.93823778960904 111 804.064949312383 799.666240504477 6.49172744835049 2.01379940489588 1.24460847326476 NA 0.69965418196496 0.594707356196754 38 2.27953816680831 13 1.41635669769998 15.8411610684782 0 2.27158319556079 101.004949268809 56.1983083381106 16
"28" "11LDACU1" "Dacu" 767.4376 224.5925 90 125.611464061607 4.84112305901958 111 804.064949312383 799.666240504477 5.62541847256939 1.89091353554827 1.19413939591254 NA 0.816018320148987 0.579520409111461 42 1.19007630720819 5 1.0832541375001 8.98367858159896 0 1.26622008992152 101.237223363348 89.9834510300652 45
"32" "11LDACU3" "Dacu" 789.5211 259.6395 123 112.713520581886 4.73368230821518 111 804.064949312383 799.666240504477 8.42208211300532 2.24305609526909 1.34340903783251 NA 0.786621039394567 0.58127658075382 40 1.16822938813345 5 0.725861730426514 10.0273847578433 0 1.53847805516939 101.172211286088 122.989179013591 51
"38" "11LDACU9" "Dacu" 822.623 326.0295 61 18.9869366481938 2.9950788925568 111 804.064949312383 799.666240504477 4.86864854587013 1.76962437664633 0.772612512181023 NA 0.719165227707004 0.587095618820765 33 1.24882718380859 7 1.1367314899805 8.78718533821572 0 1.82434030765161 101.043539993089 60.9972540644081 0
"47" "12JDacu2" "Dacu" 468.8159 43.5129 92 69.2033405757151 4.25139589644821 111 804.064949312383 799.666240504477 1.76314509331405 1.01636955752454 0.355898886977531 NA 0.51246969614532 0.469994248305956 31 1.66746193342929 6 2.40563906222957 12.2087071323416 0 1.90728399932138 101.125706650124 91.9826100017813 20
"50" "12JDacu5" "Dacu" 561.0566 60.2518 120 50.793825883027 3.94727095071422 111 804.064949312383 799.666240504477 2.23171974269479 1.17301442362391 0.437905462752596 NA 0.528060615114549 0.476029395345212 34 1.47350238508065 6 1.34123967142861 9.65356233797045 0 1.74806734854609 101.230625213607 119.987432101821 14
"54" "12JDacu9" "Dacu" 540.5189 198.4132 105 127.391335616684 4.85508290935817 111 804.064949312383 799.666240504477 18.8881387210106 2.99012350985518 1.84020084195147 NA 0.658357630398494 0.567947731190096 21 1.75410533099929 8 1.5966554799108 13.5613560658315 0 2.04057332047242 100.978555520736 104.981097995582 34
"60" "12KDacu14" "Dacu" 751.0888 71.628 90.7 121.948631472881 4.81176663783881 111 804.064949312383 799.666240504477 2.6707926320597 1.30040761478508 0.690192085107199 NA 0.518068790351769 0.479175371272376 17.39747 1.92133631396595 8 1.38595118601928 12.2160412212121 0 2.25545104101904 101.470458968133 90.683250451777 7
"66" "12KDacu2" "Dacu" 726.875 209.7831 129 104.583958982108 4.65950645615512 111 804.064949312383 799.666240504477 6.79692950549987 2.05373000305277 1.26001442123402 NA 0.774986488141962 0.572503938034581 43 1.20600709615256 7 0.8699502284481 9.64722023608027 0 1.47513538583894 101.211786094859 128.992428182315 2
"75" "12KDacu28" "Dacu" 658.8095 84.3706 85 110.191524707743 4.71125416225486 111 804.064949312383 799.666240504477 11.3875192930803 2.51668945711849 1.79755278776454 NA 0.543359652579095 0.484903607991476 50.54628 0.925073829308205 3 0.842038486962228 9.15461834215894 0 1.02172606130862 101.341133170225 84.9860451724093 1
"77" "12KDacu3" "Dacu" 688.1564 191.2916 120 100.002662100182 4.61514687392145 111 804.064949312383 799.666240504477 5.84900973480445 1.92410407756159 1.22722270628496 NA 0.720283902357838 0.561875524257236 47.02588 1.10905233999021 6 0.800012155495087 9.38183950638421 0 1.35888155483787 101.19649738634 119.987424431081 1
"81" "12KDacu33" "Dacu" 601.5448 119.2836 90 112.20546305012 4.72920442476467 111 804.064949312383 799.666240504477 4.61222535601677 1.72494731753105 1.0868651711791 NA 0.600654325641749 0.516062669711532 36 1.25854261520816 5 0.907846594854119 8.70124466486733 0 1.31938432109345 101.189549051457 89.9834286197087 2
