"tree" "sp" "type" "Y" "X" "X50N" "Y50N" "X50Nc" "Y50Nc" "elev" "side" "fullname" "mlim" "dden" "fsen" "habit" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "Sum_FF" "Q1" "Q2" "Q3" "Q4" "halfLife" "seedlings" "Sum_FF2" "Sum_FF3"
"1" "12KAcos1" "Acos" "Emergent" 5.854233333 117.9476167 604904.4387 647179.7358 604600.3997 647119.0508 33 "A1" "Anisoptera_costata" 50 0.55 NA "dry" 75 0 0 0 "0" 0 682.7234 130.4762 0 NA NA NA NA 0 0 0 0
"2" "12KAcos2" "Acos" "Emergent" 5.854133333 117.94775 604919.2154 647168.705 604615.1764 647108.02 36.01595 "A1" "Anisoptera_costata" 50 0.55 NA "dry" 63 0 0 0 "0" 0 697.5001 119.4454 0 NA NA NA NA 0 0 0 0
"3" "10KDacc1" "Dacu" "Subcanopy" 5.8566 117.9466167 604793.2842 647441.1995 604489.2452 647380.5145 25 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 56 0 0 0 "0" 0 571.5689 391.9399 6.85586387156726 NA NA NA NA 6.23947180014276e-20 0 0.122426140563701 0.00128216834313503
"4" "11KDACU1" "Dacu" "Subcanopy" 5.855033333 117.94685 604819.4056 647268.0378 604515.3666 647207.3528 30 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 80 1 0 0 "0" 0 597.6903 218.7782 2006.39588501197 1 3 1 1 8210.16787279917 6 25.0799485626497 0.309797509740065
"5" "11KDACU10" "Dacu" "Subcanopy" 5.855916667 117.9466167 604793.4116 647365.6526 604489.3726 647304.9676 22 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 61.5 1 0 1 "0" 0 571.6963 316.393 16.9902349290536 0 0 0 0 3782.25 0 0.276263982586237 0.00268999025042055
"6" "11KDACU11" "Dacu" "Subcanopy" 5.856 117.94795 604941.0098 647375.1146 604636.9708 647314.4296 24 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 80 0 0 0 "0" 0 719.2945 325.855 36.9261705460115 NA NA NA NA 2.23185142888259e-08 0 0.461577131825144 0.00484583416334979
"7" "11KDACU12" "Dacu" "Subcanopy" 5.855733333 117.9480333 604950.2819 647345.6484 604646.2429 647284.9634 27 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 125 0 0 1 "0" 0 728.5666 296.3888 272.152935444372 NA NA NA NA 25.0769379783694 0 2.17722348355498 0.0206352990425815
"8" "11KDACU13" "Dacu" "Subcanopy" 5.855583333 117.94775 604918.9449 647329.012 604614.9059 647268.327 28.13167 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 101.5 1 1 0 "0" 0 697.2296 279.7524 83.6732172040634 NA NA NA NA 10302.2502976728 0 0.824366671961216 0.00777285116805725
"9" "11KDACU14" "Dacu" "Subcanopy" 5.855333333 117.9477167 604915.3048 647301.3666 604611.2658 647240.6816 35 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 115.5 0 0 0 "0" 0 693.5895 252.107 250.568048283733 NA NA NA NA 3.74386312592351 0 2.16942033146089 0.0189424515954445
"10" "11KDACU15" "Dacu" "Subcanopy" 5.855283333 117.9477 604913.4652 647295.8357 604609.4262 647235.1507 35.54333 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 60.3 0 0 0 "0" 0 691.7499 246.5761 104.541859180186 NA NA NA NA 0.807517522861733 0 1.73369584046744 0.0157441324044637
"11" "11KDACU16" "Dacu" "Subcanopy" 5.855283333 117.9478167 604926.3854 647295.8575 604622.3464 647235.1725 40 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 96.8 1 1 1 "0" 0 704.6701 246.5979 240.119279878654 NA NA NA NA 9392.67539864392 0 2.48057107312659 0.0186912561561465
"12" "11KDACU17" "Dacu" "Subcanopy" 5.855366667 117.9478333 604928.2077 647305.0737 604624.1687 647244.3887 39 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 156 1 0 0 "0" 0 706.4924 255.8141 295.432934026759 NA NA NA NA 24358.4357196658 0 1.89380085914589 0.0197835654395935
"13" "11KDACU18" "Dacu" "Subcanopy" 5.855266667 117.9479167 604937.4599 647294.0336 604633.4209 647233.3486 39.4435 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 98 0 NA NA "DEAD2014" 1 715.7446 244.774 227.854719599043 NA NA NA NA 4.67176749256984 0 2.32504815917391 0.0212658955507436
