"tree" "sp" "Y" "X" "elev" "fullname" "mlim" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "FL" "N" "E" "S" "W" "seedlings" "NFC" "sBA" "GI" "HF" "GI_II" "HF_II" "FL_inst" "GI_Tor" "HF_Tor" "GI_III" "HF_III" "GI_IV"
"1" "12KAcos1" "Acos" 5.854233333 117.9476167 33 "Anisoptera_costata" 50 75 0 0 0 "0" 0 682.7234 130.4762 NA NA NA NA NA NA NA 0.753510997963512 NA 350.261967655849 NA 4.67015956874465 NA NA 4.9974502996164 NA 0.0583086441454245 0.185278090258844
"2" "12KAcos2" "Acos" 5.854133333 117.94775 36.01595 "Anisoptera_costata" 50 63 0 0 0 "0" 0 697.5001 119.4454 NA NA NA NA NA NA NA 0.753510997963512 NA 359.321140755677 NA 5.70351017072502 NA NA 6.06239153219454 NA 0.070288646625601 0.220569155070053
"3" "10KDacc1" "Dacu" 5.8566 117.9466167 25 "Dipterocarpus_acutangulus" 40 56 0 0 0 "0" 0 571.5689 391.9399 NA NA NA NA NA NA 75.5470074216284 80.4131779501345 6.85586387156834 333.756124263777 0.12242614056372 5.9599307904246 NA 0.122448937715868 6.01106937775619 0.00128216834313529 0.0783692964863535 0.182524925501877
"4" "11KDACU1" "Dacu" 5.855033333 117.94685 30 "Dipterocarpus_acutangulus" 40 80 1 0 0 "0" 0 597.6903 218.7782 NA 1 3 1 1 6 1.84890259882336 80.4131779501345 2006.39588504854 2514.61909990278 25.0799485631068 31.4327387487848 NA 25.0799861905908 31.6033925388488 0.309797509745728 0.394438342161057 25.6674904271276
"5" "11KDACU10" "Dacu" 5.855916667 117.9466167 22 "Dipterocarpus_acutangulus" 40 61.5 1 0 1 "0" 0 571.6963 316.393 NA 0 0 0 0 0 53.6624009548313 80.4131779501345 16.9902349290447 301.990457983722 0.276263982586093 4.91041395095482 NA 0.276296579246897 4.99604038433537 0.00268999025041903 0.0640478439069642 0.391865988291097
"6" "11KDACU11" "Dacu" 5.856 117.94795 24 "Dipterocarpus_acutangulus" 40 80 0 0 0 "0" 0 719.2945 325.855 NA NA NA NA NA NA 38.7487792653499 80.4131779501345 36.9261705460369 371.485003922472 0.461577131825461 4.6435625490309 NA 0.461590485730774 4.69882047761677 0.00484583416335241 0.0682778637036018 0.739630962767158
"7" "11KDACU12" "Dacu" 5.855733333 117.9480333 27 "Dipterocarpus_acutangulus" 40 125 0 0 1 "0" 0 728.5666 296.3888 NA NA NA NA NA NA 9.22439127365286 80.4131779501345 272.152935445527 718.701692516713 2.17722348356421 5.7496135401337 NA 2.17724187321782 5.82416714182203 0.0206352990426533 0.0773963506588799 2.48228737629167
"8" "11KDACU13" "Dacu" 5.855583333 117.94775 28.13167 "Dipterocarpus_acutangulus" 40 101.5 1 1 0 "0" 0 697.2296 279.7524 NA NA NA NA NA NA 25.6679113044342 80.4131779501345 83.6732172040134 423.877358596827 0.824366671960723 4.17613161179139 NA 0.824385461531661 4.26784859485598 0.00777285116805533 0.0611159965324456 1.37586028370043
"9" "11KDACU14" "Dacu" 5.855333333 117.9477167 35 "Dipterocarpus_acutangulus" 40 115.5 0 0 0 "0" 0 693.5895 252.107 NA NA NA NA NA NA 12.374565817381 80.4131779501345 250.568048284549 1089.97216360174 2.16942033146796 9.43698842945232 NA 2.16944257418983 9.55574827236841 0.0189424515955114 0.157564820418739 4.42964922652635
"10" "11KDACU15" "Dacu" 5.855283333 117.9477 35.54333 "Dipterocarpus_acutangulus" 40 60.3 0 0 0 "0" 0 691.7499 246.5761 NA NA NA NA NA NA 12.9202183913945 80.4131779501345 104.54185917995 389.878165076265 1.73369584046352 6.46564121187835 NA 1.7337186645713 6.59056864261146 0.0157441324044214 0.0996222017671828 5.63647712882304
"11" "11KDACU16" "Dacu" 5.855283333 117.9478167 40 "Dipterocarpus_acutangulus" 40 96.8 1 1 1 "0" 0 704.6701 246.5979 NA NA NA NA NA NA 9.39463249564895 80.4131779501345 240.11927988198 739.772901384217 2.48057107316095 7.64228203909315 NA 2.4805949267044 7.76588736127443 0.0186912561563705 0.112492295880811 4.71730490731191
"12" "11KDACU17" "Dacu" 5.855366667 117.9478333 39 "Dipterocarpus_acutangulus" 40 156 1 0 0 "0" 0 706.4924 255.8141 NA NA NA NA NA NA 9.39463249564895 80.4131779501345 295.432934030027 1502.51013416491 1.89380085916684 9.63147521900583 NA 1.89382359774226 9.74499801161904 0.019783565439811 0.188854677732833 3.51053657945551
