"tree" "sp" "type" "Y" "X" "X50N" "Y50N" "X50Nc" "Y50Nc" "elev" "side" "fullname" "mlim" "dden" "fsen" "habit" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "Sum_FF" "Q1" "Q2" "Q3" "Q4" "halfLife"
"1" "12KAcos1" "Acos" "Emergent" 5.854233333 117.9476167 604904.4387 647179.7358 604600.3997 647119.0508 33 "A1" "Anisoptera_costata" 50 0.55 NA "dry" 75 0 0 0 "0" 0 682.7234 130.4762 0 NA NA NA NA 0
"2" "12KAcos2" "Acos" "Emergent" 5.854133333 117.94775 604919.2154 647168.705 604615.1764 647108.02 36.01595 "A1" "Anisoptera_costata" 50 0.55 NA "dry" 63 0 0 0 "0" 0 697.5001 119.4454 0 NA NA NA NA 0
"3" "10KDacc1" "Dacu" "Subcanopy" 5.8566 117.9466167 604793.2842 647441.1995 604489.2452 647380.5145 25 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 56 0 0 0 "0" 0 571.5689 391.9399 0.001282168 NA NA NA NA 6.23947180014276e-20
"4" "11KDACU1" "Dacu" "Subcanopy" 5.855033333 117.94685 604819.4056 647268.0378 604515.3666 647207.3528 30 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 80 1 0 0 "0" 0 597.6903 218.7782 0.30979751 1 3 1 1 8210.16787279917
"5" "11KDACU10" "Dacu" "Subcanopy" 5.855916667 117.9466167 604793.4116 647365.6526 604489.3726 647304.9676 22 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 61.5 1 0 1 "0" 0 571.6963 316.393 0.00268999 0 0 0 0 3782.25
"6" "11KDACU11" "Dacu" "Subcanopy" 5.856 117.94795 604941.0098 647375.1146 604636.9708 647314.4296 24 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 80 0 0 0 "0" 0 719.2945 325.855 0.004845834 NA NA NA NA 2.23185142888259e-08
"7" "11KDACU12" "Dacu" "Subcanopy" 5.855733333 117.9480333 604950.2819 647345.6484 604646.2429 647284.9634 27 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 125 0 0 1 "0" 0 728.5666 296.3888 0.020635299 NA NA NA NA 25.0769379783694
"8" "11KDACU13" "Dacu" "Subcanopy" 5.855583333 117.94775 604918.9449 647329.012 604614.9059 647268.327 28.13167 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 101.5 1 1 0 "0" 0 697.2296 279.7524 0.007772851 NA NA NA NA 10302.2502976728
"9" "11KDACU14" "Dacu" "Subcanopy" 5.855333333 117.9477167 604915.3048 647301.3666 604611.2658 647240.6816 35 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 115.5 0 0 0 "0" 0 693.5895 252.107 0.018942452 NA NA NA NA 3.74386312592351
"10" "11KDACU15" "Dacu" "Subcanopy" 5.855283333 117.9477 604913.4652 647295.8357 604609.4262 647235.1507 35.54333 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 60.3 0 0 0 "0" 0 691.7499 246.5761 0.015744132 NA NA NA NA 0.807517522861733
"11" "11KDACU16" "Dacu" "Subcanopy" 5.855283333 117.9478167 604926.3854 647295.8575 604622.3464 647235.1725 40 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 96.8 1 1 1 "0" 0 704.6701 246.5979 0.018691256 NA NA NA NA 9392.67539864392
"12" "11KDACU17" "Dacu" "Subcanopy" 5.855366667 117.9478333 604928.2077 647305.0737 604624.1687 647244.3887 39 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 156 1 0 0 "0" 0 706.4924 255.8141 0.019783565 NA NA NA NA 24358.4357196658
"13" "11KDACU18" "Dacu" "Subcanopy" 5.855266667 117.9479167 604937.4599 647294.0336 604633.4209 647233.3486 39.4435 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 98 0 NA NA "DEAD2014" 1 715.7446 244.774 0.021265896 NA NA NA NA 4.67176749256984
"14" "11KDACU19" "Dacu" "Subcanopy" 5.854966667 117.94785 604930.1313 647260.8542 604626.0923 647200.1692 47 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 122.5 0 1 0 "0" 0 708.416 211.5946 0.01082271 NA NA NA NA 0.0412745165717753
"15" "11KDACU2" "Dacu" "Subcanopy" 5.855083333 117.9469333 604828.6187 647273.5812 604524.5797 647212.8962 36 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 52 1 0 0 "0" 0 606.9034 224.3216 0.036351848 5 2 6 3 2715.23195525874
"16" "11KDACU20" "Dacu" "Subcanopy" 5.855483333 117.9480667 604954.0264 647318.0155 604649.9874 647257.3305 29 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 78 1 1 1 "0" 0 732.3111 268.7559 0.022343489 11 2 3 3 6089.68153690314
"17" "11KDACU21" "Dacu" "Subcanopy" 5.85545 117.94815 604963.255 647314.3459 604659.216 647253.6609 34 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 71 1 1 1 "0" 0 741.5397 265.0863 0.029946543 NA NA NA NA 5050.92453037057
"18" "11KDACU22" "Dacu" "Subcanopy" 5.855466667 117.9482333 604972.4743 647316.2041 604668.4353 647255.5191 36.54807 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 40.6 1 1 0 "0" 0 750.759 266.9445 0.022935926 NA NA NA NA 1652.62126767635
"19" "11KDACU23" "Dacu" "Subcanopy" 5.855683333 117.9481 604957.6758 647340.133 604653.6368 647279.448 27.91765 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120 1 0 1 "0" 0 735.9605 290.8734 0.011568835 6 10 8 16 14400.0029378904
"20" "11KDACU24" "Dacu" "Subcanopy" 5.8558 117.9482667 604976.1099 647353.0625 604672.0709 647292.3775 27 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 57.6 1 0 0 "0" 0 754.3946 303.8029 0.008906841 NA NA NA NA 3317.76115250046
"21" "11KDACU3" "Dacu" "Subcanopy" 5.855183333 117.9469167 604826.7622 647284.6338 604522.7232 647223.9488 36 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100 0 0 0 "0" 0 605.0469 235.3742 0.041761271 NA NA NA NA 31.3848508222045
"22" "11KDACU4" "Dacu" "Subcanopy" 5.855033333 117.9468667 604821.2545 647268.0409 604517.2155 647207.3559 31 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 81.4 1 0 1 "0" 0 599.5392 218.7813 0.313243261 NA NA NA NA 8440.83929521831
"23" "11KDACU5" "Dacu" "Subcanopy" 5.855166667 117.9469833 604834.1388 647282.8036 604530.0998 647222.1186 38 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 56.2 1 0 0 "0" 0 612.4235 233.544 0.026527507 6 3 2 5 3162.34251277419
"24" "11KDACU6" "Dacu" "Subcanopy" 5.85525 117.94705 604841.5079 647292.0291 604537.4689 647231.3441 38 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 140 1 0 1 "0" 0 619.7926 242.7695 0.017403453 NA NA NA NA 19602.1966714244
"25" "11KDACU7" "Dacu" "Subcanopy" 5.8554 117.94685 604819.3373 647308.5752 604515.2983 647247.8902 32.30812 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100 1 1 1 "0" 0 597.622 259.3156 0.018387892 NA NA NA NA 10002.9556185769
