"sp" "minLM" "ABN" "AB" "pF" "nqd" "msed" "FH_nqd" "FH_msed"
"Anisoptera_costata" "Anisoptera_costata" 50 2 0.753510997963512 0 0 NA NA NA
"Dipterocarpus_acutangulus" "Dipterocarpus_acutangulus" 40 111 80.4131779501345 53.6363636363636 25 13.32 NA NA
"Dipterocarpus_applanatus" "Dipterocarpus_applanatus" 40 3 0.839845891074976 33.3333333333333 0 NA NA NA
"Dipterocarpus_caudiferus_" "Dipterocarpus_caudiferus_" 40 181 82.8025114645094 40.3314917127072 24 1.125 NA NA
"Dipterocarpus_confertus" "Dipterocarpus_confertus" 50 68 50.0281626213937 54.4117647058823 25 8.08 NA NA
"Dipterocarpus_grandiflorus" "Dipterocarpus_grandiflorus" 50 81 35.1492091060593 72.5 25 14.6 NA NA
"Dipterocarpus_humeratus" "Dipterocarpus_humeratus" 50 55 30.0764755213171 54.5454545454545 25 3.92 NA NA
"Dipterocarpus_kerrii" "Dipterocarpus_kerrii" 40 137 47.177162575872 69.3430656934307 25 11.52 NA NA
"Dipterocarpus_kunstleri" "Dipterocarpus_kunstleri" 30 100 20.2879694609022 52.0408163265306 25 1.48 NA NA
"Dryobalanops_lanceolata" "Dryobalanops_lanceolata" 50 112 65.3647874133416 66.6666666666667 25 24.28 NA NA
"Hopea_beccariana" "Hopea_beccariana" 30 116 16.0762592433128 83.6206896551724 25 45.48 NA NA
"Hopea_nervosa" "Hopea_nervosa" NA 1 0.237582944427728 0 0 NA NA NA
"Hopea_sangal_" "Hopea_sangal_" 50 2 1.27031555584965 50 1 17 NA NA
"Hopea_semicuneata" "Hopea_semicuneata" NA 1 0.567450173054656 100 1 0 NA NA
"Parashorea_malaanonan" "Parashorea_malaanonan" 50 209 138.969322569073 74.5192307692308 23 22.6086956521739 16 23.625
"Parashorea_tomentella" "Parashorea_tomentella" 50 628 380.026302529214 82.3240589198036 21 33 43 26.1860465116279
"Shorea_acuminatissima" "Shorea_acuminatissima" 50 97 70.8077237883407 75.2577319587629 23 27.5217391304348 NA NA
"Shorea_agamii" "Shorea_agamii" 50 37 12.4732483103196 18.9189189189189 9 2.66666666666667 NA NA
"Shorea_almon" "Shorea_almon" 50 29 20.105391876848 57.1428571428571 17 8.82352941176471 NA NA
"Shorea_argentifolia" "Shorea_argentifolia" 50 81 44.8717660680919 76.25 26 7.26923076923077 NA NA
"Shorea_beccariana" "Shorea_beccariana" 50 259 144.777440947565 58.9147286821705 24 5.45833333333333 NA NA
"Shorea_confusa" "Shorea_confusa" 50 3 1.14236162866159 0 0 NA NA NA
"Shorea_falciferoides" "Shorea_falciferoides" 50 59 55.4505523268878 23.728813559322 14 6.92857142857143 NA NA
"Shorea_foxworthyi" "Shorea_foxworthyi" 50 16 9.12206515416761 6.25 1 0 NA NA
"Shorea_gibbosa" "Shorea_gibbosa" 50 106 59.4107073667227 76.4150943396226 23 88.0434782608696 NA NA
"Shorea_johorensis" "Shorea_johorensis" 50 416 318.138614025055 54.4117647058823 23 2.56521739130435 26 11.6538461538462
"Shorea_leprosula" "Shorea_leprosula" 50 135 77.7071254259384 22.2222222222222 18 2.94444444444444 12 1.08333333333333
"Shorea_macroptera" "Shorea_macroptera" 40 326 105.416706258409 37.0716510903427 25 6.24 NA NA
"Shorea_mecistopteryx" "Shorea_mecistopteryx" 50 211 169.661181113356 49.2890995260664 24 4.79166666666667 NA NA
"Shorea_multiflora" "Shorea_multiflora" 30 533 88.8752824523772 82.3639774859287 25 53.32 NA NA
"Shorea_parvifolia" "Shorea_parvifolia" 50 217 144.513346102734 72.3502304147465 25 6.68 NA NA
"Shorea_pauciflora" "Shorea_pauciflora" 50 27 17.3221811176055 22.2222222222222 5 2.4 NA NA
"Shorea_seminis" "Shorea_seminis" 50 12 4.58827329402115 41.6666666666667 5 33.6 NA NA
"Shorea_smithiana" "Shorea_smithiana" 50 352 246.574701750488 16.2857142857143 26 2.84615384615385 NA NA
"Shorea_superba" "Shorea_superba" 50 19 11.981911858678 21.0526315789474 4 43.5 NA NA
"Shorea_symingtonii" "Shorea_symingtonii" 50 16 7.3696603587283 43.75 7 11.5714285714286 NA NA
"Shorea_waltoni" "Shorea_waltoni" 50 56 32.9399908865725 23.2142857142857 13 4.53846153846154 NA NA
"Shorea_xanthophylla" "Shorea_xanthophylla" 30 616 45.4443065384912 72.9235880398671 24 0.875 50 1.74
"Unknown_" "Unknown_" NA 16 10.051648217274 18.75 0 NA NA NA
"Vatica_micrantha" "Vatica_micrantha" NA 11 NA 45.4545454545455 5 42.6 NA NA
"Vatica_oblongifolia" "Vatica_oblongifolia" 30 41 2.86421751121353 17.5 8 5.375 NA NA
"Vatica_rassak" "Vatica_rassak" 50 3 0.231573863079574 33.3333333333333 1 2 NA NA
